sample,function_type,function_id,count,function_label
A1,go,go:0003674,7,go|go:0003674
A1,go,go:0003824,14,go|go:0003824
A1,go,go:0005515,6,go|go:0005515
A1,go,go:0000166,9,go|go:0000166
A1,go,go:0003723,6,go|go:0003723
A1,go,go:0003735,12,go|go:0003735
A1,go,go:0005198,12,go|go:0005198
A1,go,go:0005215,12,go|go:0005215
A1,go,go:0005488,15,go|go:0005488
A1,go,go:0016020,11,go|go:0016020
A2,go,go:0003674,8,go|go:0003674
A2,go,go:0003824,6,go|go:0003824
A2,go,go:0005515,12,go|go:0005515
A2,go,go:0000166,5,go|go:0000166
A2,go,go:0003723,11,go|go:0003723
A2,go,go:0003735,11,go|go:0003735
A2,go,go:0005198,14,go|go:0005198
A2,go,go:0005215,5,go|go:0005215
A2,go,go:0005488,12,go|go:0005488
A2,go,go:0016020,9,go|go:0016020
A3,go,go:0003674,8,go|go:0003674
A3,go,go:0003824,14,go|go:0003824
A3,go,go:0005515,6,go|go:0005515
A3,go,go:0000166,10,go|go:0000166
A3,go,go:0003723,5,go|go:0003723
A3,go,go:0003735,5,go|go:0003735
A3,go,go:0005198,5,go|go:0005198
A3,go,go:0005215,15,go|go:0005215
A3,go,go:0005488,13,go|go:0005488
A3,go,go:0016020,5,go|go:0016020
A4,go,go:0003674,11,go|go:0003674
A4,go,go:0003824,15,go|go:0003824
A4,go,go:0005515,8,go|go:0005515
A4,go,go:0000166,11,go|go:0000166
A4,go,go:0003723,5,go|go:0003723
A4,go,go:0003735,13,go|go:0003735
A4,go,go:0005198,8,go|go:0005198
A4,go,go:0005215,12,go|go:0005215
A4,go,go:0005488,12,go|go:0005488
A4,go,go:0016020,13,go|go:0016020
A5,go,go:0003674,8,go|go:0003674
A5,go,go:0003824,10,go|go:0003824
A5,go,go:0005515,8,go|go:0005515
A5,go,go:0000166,15,go|go:0000166
A5,go,go:0003723,8,go|go:0003723
A5,go,go:0003735,12,go|go:0003735
A5,go,go:0005198,9,go|go:0005198
A5,go,go:0005215,5,go|go:0005215
A5,go,go:0005488,11,go|go:0005488
A5,go,go:0016020,13,go|go:0016020
B1,go,go:0003674,15,go|go:0003674
B1,go,go:0003824,6,go|go:0003824
B1,go,go:0005515,7,go|go:0005515
B1,go,go:0000166,15,go|go:0000166
B1,go,go:0003723,9,go|go:0003723
B1,go,go:0003735,6,go|go:0003735
B1,go,go:0005198,10,go|go:0005198
B1,go,go:0005215,13,go|go:0005215
B1,go,go:0005488,11,go|go:0005488
B1,go,go:0016020,13,go|go:0016020
B2,go,go:0003674,15,go|go:0003674
B2,go,go:0003824,8,go|go:0003824
B2,go,go:0005515,9,go|go:0005515
B2,go,go:0000166,9,go|go:0000166
B2,go,go:0003723,14,go|go:0003723
B2,go,go:0003735,12,go|go:0003735
B2,go,go:0005198,13,go|go:0005198
B2,go,go:0005215,11,go|go:0005215
B2,go,go:0005488,14,go|go:0005488
B2,go,go:0016020,5,go|go:0016020
B3,go,go:0003674,12,go|go:0003674
B3,go,go:0003824,8,go|go:0003824
B3,go,go:0005515,11,go|go:0005515
B3,go,go:0000166,11,go|go:0000166
B3,go,go:0003723,15,go|go:0003723
B3,go,go:0003735,7,go|go:0003735
B3,go,go:0005198,10,go|go:0005198
B3,go,go:0005215,13,go|go:0005215
B3,go,go:0005488,15,go|go:0005488
B3,go,go:0016020,10,go|go:0016020
B4,go,go:0003674,6,go|go:0003674
B4,go,go:0003824,12,go|go:0003824
B4,go,go:0005515,15,go|go:0005515
B4,go,go:0000166,13,go|go:0000166
B4,go,go:0003723,6,go|go:0003723
B4,go,go:0003735,7,go|go:0003735
B4,go,go:0005198,13,go|go:0005198
B4,go,go:0005215,11,go|go:0005215
B4,go,go:0005488,10,go|go:0005488
B4,go,go:0016020,12,go|go:0016020
B5,go,go:0003674,5,go|go:0003674
B5,go,go:0003824,12,go|go:0003824
B5,go,go:0005515,5,go|go:0005515
B5,go,go:0000166,9,go|go:0000166
B5,go,go:0003723,14,go|go:0003723
B5,go,go:0003735,14,go|go:0003735
B5,go,go:0005198,14,go|go:0005198
B5,go,go:0005215,11,go|go:0005215
B5,go,go:0005488,15,go|go:0005488
