"sample","function_type","function_id","function_label","count"
"A5","ec","ec:1.6.5.9","ec|ec:1.6.5.9",10
"A5","ec","ec:2.1.1.-","ec|ec:2.1.1.-",1
"A5","ec","ec:2.1.1.170","ec|ec:2.1.1.170",1
"A5","ec","ec:2.4.2.9","ec|ec:2.4.2.9",2
"A5","ec","ec:2.7.7.6","ec|ec:2.7.7.6",4
"A5","ec","ec:2.7.7.7","ec|ec:2.7.7.7",8
"A5","ec","ec:2.7.8.-","ec|ec:2.7.8.-",4
"A5","ec","ec:3.1.-.-","ec|ec:3.1.-.-",5
"A5","ec","ec:3.1.21.10","ec|ec:3.1.21.10",2
"A5","ec","ec:3.4.24.-","ec|ec:3.4.24.-",2
"A5","ec","ec:3.5.1.2","ec|ec:3.5.1.2",2
"A5","ec","ec:3.5.1.88","ec|ec:3.5.1.88",1
"A5","ec","ec:3.6.1.-","ec|ec:3.6.1.-",1
"A5","ec","ec:3.6.4.-","ec|ec:3.6.4.-",1
"A5","ec","ec:3.6.4.12","ec|ec:3.6.4.12",3
"A5","ec","ec:3.6.5.-","ec|ec:3.6.5.-",2
"A5","ec","ec:5.4.99.62","ec|ec:5.4.99.62",1
"A5","ec","ec:5.6.2.3","ec|ec:5.6.2.3",2
"A5","ec","ec:6.3.5.3","ec|ec:6.3.5.3",2
"A5","ec","ec:7.1.2.2","ec|ec:7.1.2.2",8
"A5","go","go:0000049","go|go:0000049",17
"A5","go","go:0000105","go|go:0000105",10
"A5","go","go:0000166","go|go:0000166",17
"A5","go","go:0000287","go|go:0000287",28
"A5","go","go:0000314","go|go:0000314",2
"A5","go","go:0000428","go|go:0000428",4
"A5","go","go:0000917","go|go:0000917",1
"A5","go","go:0000976","go|go:0000976",2
"A5","ko","ko:K00053","ko|ko:K00053",1
"A5","ko","ko:K01126","ko|ko:K01126",2
"A5","ko","ko:K01462","ko|ko:K01462",1
"A5","ko","ko:K02314","ko|ko:K02314",1
"A5","ko","ko:K02834","ko|ko:K02834",1
"A5","ko","ko:K02864","ko|ko:K02864",1
"A5","ko","ko:K02871","ko|ko:K02871",1
"A5","ko","ko:K02874","ko|ko:K02874",1
"A5","ko","ko:K02913","ko|ko:K02913",2
"A5","ko","ko:K02948","ko|ko:K02948",1
"A5","ko","ko:K02950","ko|ko:K02950",1
"A5","ko","ko:K02954","ko|ko:K02954",2
"A5","ko","ko:K02963","ko|ko:K02963",1
"A5","ko","ko:K02968","ko|ko:K02968",1
"A5","ko","ko:K02982","ko|ko:K02982",1
"A5","ko","ko:K02990","ko|ko:K02990",1
"A5","ko","ko:K02992","ko|ko:K02992",1
"A5","ko","ko:K03100","ko|ko:K03100",1
"A5","ko","ko:K03217","ko|ko:K03217",1
"A5","ko","ko:K03282","ko|ko:K03282",1
"A5","ko","ko:K03402","ko|ko:K03402",1
"A5","ko","ko:K03424","ko|ko:K03424",1
"A5","ko","ko:K03975","ko|ko:K03975",2
"A5","ko","ko:K06726","ko|ko:K06726",1
"A5","ko","ko:K06901","ko|ko:K06901",1
"A5","product","product:16S rRNA (guanine(527)-N(7))-methyltransferase RsmG","product|product:16S rRNA (guanine(527)-N(7))-methyltransferase RsmG",1
"A5","product","product:30S ribosomal protein S10","product|product:30S ribosomal protein S10",1
"A5","product","product:30S ribosomal protein S11","product|product:30S ribosomal protein S11",1
"A5","product","product:30S ribosomal protein S12","product|product:30S ribosomal protein S12",1
"A5","product","product:30S ribosomal protein S18","product|product:30S ribosomal protein S18",1
"A5","product","product:30S ribosomal protein S20","product|product:30S ribosomal protein S20",1
"A5","product","product:30S ribosomal protein S3","product|product:30S ribosomal protein S3",1
"A5","product","product:30S ribosomal protein S5","product|product:30S ribosomal protein S5",1
