ensembl_species	ensembl_gene	gene_symbol	marked_id	gcf
homo_sapiens	ENSG_A	GENEA	1	GCF_000001405.40
mus_musculus	ENSMUSG_A	GENEA	2	GCF_000001635.27
bos_taurus	ENSBTAG_A	GENEA	3	GCF_002263795.3
homo_sapiens	ENSG_B	GENEB	4	GCF_000001405.40
mus_musculus	ENSMUSG_B	GENEB	5	GCF_000001635.27
homo_sapiens	ENSG_C	GENEC	6	GCF_000001405.40
mus_musculus	ENSMUSG_C	GENEC	7	GCF_000001635.27
bos_taurus	ENSBTAG_C	GENEC	8	GCF_002263795.3
homo_sapiens	ENSG_D	GENED	9	GCF_000001405.40
mus_musculus	ENSMUSG_D	GENED	10	GCF_000001635.27
bos_taurus	ENSBTAG_D	GENED	11	GCF_002263795.3
capra_hircus	ENSCHIG_D	GENED	12	GCF_001704415.2
