gene1	genome1	gene2	genome2	relation
ENSG_A	homo_sapiens	ENSMUSG_A	mus_musculus	ortholog
ENSG_A	homo_sapiens	ENSBTAG_A	bos_taurus	ortholog
ENSMUSG_A	mus_musculus	ENSBTAG_A	bos_taurus	ortholog
ENSG_B	homo_sapiens	ENSMUSG_B	mus_musculus	ortholog
ENSG_C	homo_sapiens	ENSMUSG_C	mus_musculus	ortholog
ENSG_C	homo_sapiens	ENSBTAG_C	bos_taurus	ortholog
ENSMUSG_C	mus_musculus	ENSBTAG_C	bos_taurus	ortholog
ENSG_D	homo_sapiens	ENSMUSG_D	mus_musculus	ortholog
ENSG_D	homo_sapiens	ENSBTAG_D	bos_taurus	ortholog
ENSG_D	homo_sapiens	ENSCHIG_D	capra_hircus	ortholog
ENSMUSG_D	mus_musculus	ENSBTAG_D	bos_taurus	ortholog
ENSG_A	homo_sapiens	ENSG_B	homo_sapiens	paralog
ENSG_A	homo_sapiens	ENSG_C	homo_sapiens	paralog
ENSG_B	homo_sapiens	ENSG_C	homo_sapiens	paralog
ENSG_C	homo_sapiens	ENSG_D	homo_sapiens	paralog
ENSG_A	homo_sapiens	ENSG_D	homo_sapiens	paralog
ENSG_B	homo_sapiens	ENSG_D	homo_sapiens	paralog
